red,green,blue
1.0,0.9285526623859233,0.9750821219745986
1.0,0.8154138279341155,0.8614759993915024
1.0,0.6850476461394807,0.7333350388086887
1.0,0.51531619655668,0.5866598002456755
0.9842007399740528,0.3716955425368479,0.4748356128515326
0.8678307744560974,0.24449743159918896,0.3816897075970443
0.661676223324454,0.2263837940420353,0.31841424929418216
0.3309882345795654,0.004352631805448533,0.16651269905877208
1.0,0.9282284204833411,0.9667760286440857
1.0,0.8162047355772578,0.8313856452343684
1.0,0.6850785690958109,0.6969061332090627
1.0,0.5169273682919993,0.5345024240775486
0.9897724896893424,0.37408301094832075,0.4094648338132356
0.8718103613958199,0.24976433257146768,0.3086911743222627
0.664774639136307,0.23010783693470271,0.26540089130137
0.33705435761232794,0.0010126987694810338,0.1358177119770642
1.0,0.9268809256761856,0.9568062815893121
1.0,0.8183702034780839,0.7945909217584552
1.0,0.6571858086175825,0.6032628030123159
1.0,0.523882640041257,0.464244343262112
0.9888449023556422,0.38342867832553884,0.32281020883539213
0.8694905868506481,0.261591864682045,0.2277642684323291
0.702972376939113,0.19160407635366658,0.1824331071962054
0.33872818110275404,0.00490290208530474,0.10451341962042866
1.0,0.9274788891638065,0.9420826235169135
1.0,0.8215975965776917,0.7593100345016277
1.0,0.6691848129840187,0.5419852398378716
1.0,0.509233517368601,0.3079096301418133
1.0,0.37382253359256784,0.10781009384644094
0.8488597469391962,0.29421400320116886,0.09481674913494767
0.6555768053017931,0.24913113447901564,0.15651970012684566
0.3021496554664752,0.062160781142918245,0.08798189060108301
1.0,0.9282518995731208,0.9297086973250483
1.0,0.8298314589584729,0.7212885012547898
1.0,0.684728566430112,0.48394648780962485
1.0,0.5193247060517184,0.014912405345901322
0.9405434582857906,0.43730273731225117,0.08184933369758221
0.7569660819630558,0.3735237172188924,0.18218679740835078
0.6007189086565119,0.29443461955498884,0.1648136879920046
0.2646905374210848,0.10268524722108327,0.08394766075551352
1.0,0.9301474972513661,0.913972672117331
1.0,0.8403657719002178,0.6876270923720698
1.0,0.6728131117853592,0.20733782474951268
1.0,0.5836876238288179,0.2301750506797008
0.8766003339400419,0.48240544422235926,0.11441489725791262
0.699583207179399,0.409630089662357,0.21195301292157498
0.5479295230240029,0.3262006864090373,0.19821078768668726
0.2577670171141785,0.11049002416266288,0.05181145831285766
1.0,0.9342690303164822,0.8978628022831414
1.0,0.8392445016141976,0.5638482488304064
1.0,0.7006361015430286,0.09522817082781063
0.9640605087555046,0.6068484177247867,0.14954512874552364
0.8199429747624459,0.5145627450260962,0.16827763828347628
0.6778421160902021,0.42350839344269914,0.1715344246863843
0.5324203466887902,0.33607692239776726,0.1706011678977084
0.24732613419728752,0.11947196707281224,0.027564564655891223
1.0,0.9386555845602114,0.8817745957969124
1.0,0.8336452371927958,0.16155499677753593
1.0,0.7267429387048695,0.0
0.9234374096786615,0.6293387938079554,0.01782011187500001
0.7860815092128818,0.5334307241210146,0.10205761743365432
0.6252686456671268,0.4470262954337055,0.23366498805531583
0.511865851283599,0.34755681093825636,0.14301515220296268
0.20298270558723605,0.14016404606236224,0.09130574069280997
1.0,0.9395419738048396,0.7586374222142916
1.0,0.8542854203284063,0.0
0.9985854481121627,0.754009849230387,0.11648479180027085
0.864803360510939,0.6543209310555642,0.1722559345535279
0.7331759728834634,0.5554655206198053,0.19667346689793258
0.600728818374796,0.4588438396834951,0.20772995934185084
0.46623194601559553,0.36435395749861316,0.21473740716484335
0.19305527660572525,0.14481745267316043,0.08477705603749554
1.0,0.9475311230400181,0.6392906932159863
1.0,0.8853367180081111,0.0
0.9435252470362351,0.777466334507271,0.0
0.8218750452386058,0.6727439990048864,0.11345728644542141
0.6978913003271751,0.5705918460585498,0.16445719259713673
0.5743981006034818,0.47006812482622734,0.18927532341303852
0.447291924046647,0.37218911966752666,0.20537265144289707
0.1841225722530889,0.14836054514351762,0.08424670268102576
1.0,0.9573630945553961,0.6329845287016592
1.0,0.9020064252869504,0.1393884188872905
0.900863753658745,0.793526793493397,0.0
0.7827666319462515,0.6875785919295377,0.07495529480065835
0.6644309878720318,0.5833138647915002,0.14567216828832194
0.5469842847352197,0.4804196024402187,0.18005040937791547
0.42827798135153067,0.3792025940271626,0.2015532028636154
0.17429517725982163,0.151690079217704,0.08832869893632848
1.0,0.9647521325414297,0.6349894941756006
0.9727641342354142,0.9159127371927155,0.1246423410343053
0.8597781284693062,0.8074616678951049,0.0
0.7462333414588962,0.7000593104724715,0.054462057387633954
0.6320575596657272,0.5942206584718946,0.14486148998167056
0.5197378601183151,0.48941251253491697,0.18449385290252346
